Date,Open,High,Low,Close,Volume,Open_N,High_N,Low_N,Close_N,Volume_N
2007-05-30,13517.9,13636.1,13456.7,13633.1,224780957,0.592357272,0.594969828,0.591966523,0.602281787,0.271193052
2007-05-31,13633,13673.1,13614.7,13627.6,243514062,0.602137992,0.598148045,0.605353392,0.601814312,0.297772459
2007-06-01,13628.7,13692,13624.4,13668.1,212783996,0.601772596,0.599771512,0.606175244,0.605256627,0.254171202
2007-06-04,13667.2,13690.4,13618.8,13676.3,177830660,0.605044166,0.599634076,0.605700773,0.605953589,0.204577773
2007-06-05,13673.2,13673.5,13551,13595.5,223037748,0.605554021,0.598182404,0.599956281,0.599085959,0.268719706
2007-06-06,13590.7,13591.1,13437.3,13465.7,236825687,0.598543514,0.59110443,0.590322818,0.588053554,0.288282679
2007-06-07,13463.5,13480.2,13259.8,13266.7,298878757,0.587734586,0.581578371,0.575283772,0.571139466,0.37632648
2007-06-08,13267.1,13431.2,13251.5,13424.4,241998290,0.57104533,0.577369382,0.574580538,0.584543243,0.29562181
2007-06-11,13423.7,13478.1,13381.6,13425,180249196,0.584352548,0.581397986,0.585603523,0.58459424,0.208009305
2007-06-12,13424.4,13449.5,13294.6,13295,233424365,0.584412031,0.57894131,0.578232272,0.573544836,0.283456724
2007-06-13,13287.6,13485.1,13287.6,13482.3,253046091,0.572787335,0.58199927,0.577639183,0.589464478,0.311296948
2007-06-14,13482.4,13581.6,13479.3,13553.7,228682131,0.58934063,0.590288402,0.593881353,0.595533151,0.276728221
2007-06-15,13556.7,13688.7,13556.5,13639.5,425075903,0.595654335,0.599488049,0.600422279,0.602825758,0.555380899
2007-06-18,13639,13667.9,13608.8,13613,174383318,0.602647847,0.597701377,0.604853503,0.600573379,0.199686523
2007-06-19,13611.7,13652.2,13577.2,13635.4,233718864,0.600328007,0.596352782,0.602176129,0.602477276,0.283874573
2007-06-20,13636.5,13674.4,13483.2,13489.4,274668690,0.602435408,0.598259712,0.594211789,0.590067945,0.341976103
2007-06-21,13486.7,13564.2,13398.9,13545.8,241173447,0.589706026,0.588793781,0.587069301,0.594861687,0.294451485
2007-06-22,13545,13545.1,13359.7,13360.2,380868448,0.594660118,0.587153134,0.583748002,0.579086537,0.492657292
2007-06-25,13360.1,13488.8,13299.8,13352,251722415,0.578948084,0.582317092,0.578672853,0.578389575,0.309418854
2007-06-26,13352.4,13452.5,13308.7,13337.7,240948351,0.57829377,0.579199004,0.579426923,0.57717414,0.294132108
2007-06-27,13336.9,13433,13259.9,13427.7,246019415,0.576976644,0.577523998,0.575292245,0.584823728,0.301327171
2007-06-28,13427.5,13498.3,13389.3,13422.3,207127217,0.584675456,0.58313312,0.586255921,0.584364753,0.2461451
2007-06-29,13422.6,13524.5,13314,13408.6,262107608,0.584259074,0.585383641,0.579875977,0.583200316,0.324153852
2007-07-02,13409.6,13537.9,13409.5,13535.4,196411638,0.583154388,0.58653467,0.587967407,0.593977735,0.230941334
2007-07-03,13531.5,13591.7,13531.5,13577.3,111584923,0.593512944,0.591155969,0.598304104,0.597539043,0.11058522
2007-07-05,13576.2,13580,13513.5,13565.8,188836639,0.597311364,0.590150965,0.596779018,0.596561595,0.220193571
2007-07-06,13559,13633.6,13538,13611.7,176035608,0.59584978,0.594755084,0.59885483,0.600462885,0.202030869
2007-07-09,13612.7,13670.5,13609,13650,192835577,0.600412983,0.597924711,0.604870448,0.60371821,0.225867452
2007-07-10,13648.6,13649.2,13496.2,13501.7,274423909,0.603463615,0.596095089,0.59531324,0.591113389,0.341628797
2007-07-11,13500.4,13591,13474.8,13577.9,224412879,0.590870195,0.59109584,0.593500082,0.59759004,0.270670806
2007-07-12,13579.3,13869.9,13579.2,13861.7,300519805,0.597574789,0.61505272,0.602345583,0.62171174,0.378654876
2007-07-13,13859.9,13932.3,13845.9,13907.2,223816717,0.621419012,0.620412739,0.62494228,0.625579031,0.269824944
2007-07-16,13907.1,13989.1,13895,13951,209066573,0.625429872,0.62529173,0.629102377,0.629301831,0.248896749
2007-07-17,13952,14022,13942.8,13971.5,266018610,0.629245287,0.628117766,0.633152328,0.631044237,0.329702965
2007-07-18,13955,13965.9,13823.6,13918.2,324400352,0.629500215,0.623298903,0.623052867,0.626513981,0.412537714
2007-07-19,13918.8,14015.8,13918.8,14000.4,265391748,0.626424089,0.6275852,0.63111888,0.633500604,0.328813544
2007-07-20,14000.7,14009.3,13797.7,13851.1,377653705,0.633383611,0.627026865,0.620858437,0.620810788,0.488096064
2007-07-23,13851.7,13974,13851.7,13943.4,237448329,0.62072221,0.623994674,0.625433696,0.628655865,0.289166113
2007-07-24,13940.9,13941,13701.6,13717,296993596,0.628302055,0.621160049,0.61271617,0.609412903,0.373651725
2007-07-25,13718.2,13822.2,13674.8,13785.1,266862118,0.609377934,0.610955398,0.610445486,0.615201091,0.330899774
2007-07-26,13783.1,13783.5,13335.3,13473.6,426884258,0.614892867,0.607631155,0.581680662,0.588725018,0.557946677
2007-07-27,13472.7,13520.8,13265.5,13265.5,337123901,0.588516364,0.585065819,0.575766716,0.571037471,0.430590481
2007-07-30,13266.2,13397.7,13219.1,13358.3,295454048,0.570968852,0.574491808,0.571835382,0.578925046,0.371467342
2007-07-31,13360.7,13498.5,13199.8,13212,319889551,0.57899907,0.5831503,0.570200151,0.566490216,0.406137578
2007-08-01,13211.1,13393,13132.7,13362.4,355960030,0.566286683,0.574088088,0.564514967,0.579273527,0.457316062
2007-08-02,13357.8,13503.3,13350.4,13463.3,264831582,0.57875264,0.583562609,0.58296004,0.587849565,0.328018754
2007-08-03,13462.2,13471.8,13175.2,13181.9,301804900,0.587624118,0.58085683,0.568115866,0.563931854,0.380478229
2007-08-06,13183.1,13470.2,13158.6,13468.8,311806661,0.563907359,0.580719394,0.566709397,0.58831704,0.394669195
2007-08-07,13467.7,13608.1,13347.2,13504.3,273338666,0.588091485,0.592564692,0.582688914,0.591334377,0.340089003
2007-08-08,13497.2,13695.8,13484.8,13657.9,288036232,0.590598272,0.600097923,0.594347352,0.604389673,0.360942598
2007-08-09,13652.3,13652.3,13270.7,13270.7,362490417,0.603778026,0.596361372,0.576207297,0.571479447,0.466581681
